file,replaced,todos,notes
chat/lib/class/AJAXChatTemplate.php,none,0,no legacy config usage detected
chat/lib/template/loggedIn.html,none,0,no legacy config usage detected (template placeholder only)
chat/lib/template/logs.html,none,0,no legacy config usage detected (template placeholder only)
admin/datareset.php,site_config(5),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/traffic.php,site_config(2),0,Replaced legacy config access with ConfigRepository
admin/mysql_overview.php,site_config(3),0,Replaced legacy config access with ConfigRepository
admin/log_viewer.php,site_config(4),0,Replaced legacy config access with ConfigRepository
public/faq.php,site_config(26),0,Replaced legacy config access with ConfigRepository
admin/load.php,site_config(4),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/showfriends.php,site_config(4),0,Replaced legacy config access with ConfigRepository
admin/mass_bonus_for_members.php,site_config(3),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/comments.php,site_config(3),0,Replaced legacy config access with ConfigRepository
admin/changelog.php,site_config(1),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/shareratio.php,site_config(1),0,Replaced legacy config access with ConfigRepository
admin/promo.php,site_config(5),0,Replaced legacy config access with ConfigRepository
public/lottery.php,site_config(8),0,Replaced legacy config access with ConfigRepository
admin/watched_users.php,site_config(8),0,Replaced legacy config access with ConfigRepository
public/uploadapp.php,site_config(5),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/invitedby.php,site_config(6),0,Replaced legacy config access with ConfigRepository
public/signup.php,site_config(11),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/seedtimeratio.php,site_config(2),0,Replaced legacy config access with ConfigRepository
public/download_multi.php,site_config(11),0,Replaced legacy config access with ConfigRepository
admin/over_forums.php,site_config(6),0,Replaced legacy config access with ConfigRepository
public/hnrs.php,site_config(31),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/forumposts.php,site_config(2),0,Replaced legacy config access with ConfigRepository
admin/adduser.php,site_config(4),0,Replaced legacy config access with ConfigRepository
public/bookmarks.php,site_config(18),0,Replaced legacy config access with ConfigRepository
blocks/userdetails/iphistory.php,site_config(6),0,Replaced legacy config access with ConfigRepository
